"Category","Memory Object","Description"
"Family Economic Status","Family Finances","Family was not well-off, evidenced by upcycling (e.g., mother altering old clothes, tinned biscuit box use)"
"Family Economic Status","Tinned Biscuit Box","Printed with 1980 International Labor Day slogan, used by mother to store sewing needles"
"Family Economic Status","Father's Watch","Moscow-made vintage watch, required winding three times daily"
"Family Economic Status","Neighbor's TV","14-inch black-and-white TV, only received three channels"
"Living Space Memory","Apartment Tap","Third-floor tap had maximum water flow at 7 AM"
"Living Space Memory","Door Crack Pest Control","Newspaper stuffed in door cracks to block cockroaches, with a finger-width gap left—father said it was for 'safe eavesdropping'"
"Living Space Memory","Apartment Architecture","1920s three-story apartment at Calle Mercaderes 23, Unit 302; wooden door with iron number plate, yellow peeling walls, creaky cast-iron radiators; Joi's small bed in living room corner, kitchen window facing inner courtyard, storage room piled with old items; iron staircase railing, rusted peanut-carved balcony railings, attic with antique video tapes and projector"
"Neighborhood Interaction","5th Bus Driver Uncle","Friendly with the bus driver at Route 5 terminal, who liked corn tortillas; Joi could hitch a ride on his 'overtime bus' (personal free ride)"
"Neighborhood Interaction","Public Phone Booth","If someone ahead talked over 5 minutes, others would knock on the glass to urge"
"Cultural Cognition Memory","American Movie Viewing","Watched American films like Music for Millions and Tales of Manhattan via old video tapes at home"
"Cultural Cognition Memory","Movie Imitation","Joi often mimicked movie lines in front of the mirror, thought actresses' dresses were 'very pretty'"
"Cultural Cognition Memory","Ideological Conflict","Textbooks labeled the U.S. as 'imperialist devils,' but Joi developed a fondness for actresses' images, creating a cognitive contradiction"
"Career Dream Memory","Dream in Essay","Wrote in the essay Myself in 2049 that she wanted to be an astronaut (as required)"
"Career Dream Memory","Private Dream","Confided in father that she preferred to be a candy vendor, because 'there would be candy every day'"
"Item Use Memory","Video Tape Maintenance","Mother covered tapes with old towels to prevent dust, and cleaned heads with alcohol swabs before playback"
"Item Use Memory","Father's Briefcase","Briefcase usually contained reports, maps, and an American pen traded at a flea market"
"Item Use Memory","Old Residence Features","North Santa Cruz old address: Callejon de la Luz 17, with a tamarind tree behind the house and neighbor Mrs. Maria's vintage color TV"
"Daily Life Memory","Daily Routine","6:30 AM: Woken by milk delivery motorcycle; 7:00 AM: Mother went to work; 8:00 AM: Father went to work, dropped Joi at school; 4:00 PM: After school, bought bread and helped mother shell beans; 7:00 PM: Family dinner after father returned; 9:00 PM: Mother played movies with old video tapes"
"Daily Life Memory","Food Preferences","Liked Ropa vieja (Cuban shredded beef stew), Tamal en hoja (leaf-wrapped corn tamale), Turrón de Coco (coconut nougat)"